Dog,Happiness,RubsGroup,TreatGroup
1,2,No Belly Rubs,Treats
2,2,No Belly Rubs,Treats
3,3,No Belly Rubs,Treats
4,3,No Belly Rubs,Treats
5,4,No Belly Rubs,Treats
6,6,No Belly Rubs,Treats
7,5,No Belly Rubs,No Treats
8,4,No Belly Rubs,No Treats
9,2,No Belly Rubs,No Treats
10,5,No Belly Rubs,No Treats
11,3,No Belly Rubs,No Treats
12,7,No Belly Rubs,No Treats
1,4,5 Belly Rubs,Treats
2,5,5 Belly Rubs,Treats
3,5,5 Belly Rubs,Treats
4,5,5 Belly Rubs,Treats
5,6,5 Belly Rubs,Treats
6,7,5 Belly Rubs,Treats
7,6,5 Belly Rubs,No Treats
8,4,5 Belly Rubs,No Treats
9,6,5 Belly Rubs,No Treats
10,7,5 Belly Rubs,No Treats
11,3,5 Belly Rubs,No Treats
12,6,5 Belly Rubs,No Treats
1,9,10 Belly Rubs,Treats
2,7,10 Belly Rubs,Treats
3,7,10 Belly Rubs,Treats
4,6,10 Belly Rubs,Treats
5,7,10 Belly Rubs,Treats
6,9,10 Belly Rubs,Treats
7,5,10 Belly Rubs,No Treats
8,6,10 Belly Rubs,No Treats
9,4,10 Belly Rubs,No Treats
10,7,10 Belly Rubs,No Treats
11,6,10 Belly Rubs,No Treats
12,5,10 Belly Rubs,No Treats
