ID,ID_Dep,Time,SWLS_mean,Before_SWLS,After_SWLS
1,1,Before,5,5,6.2
2,2,Before,4,4,3.2
3,3,Before,5.8,5.8,3
4,4,Before,3,3,2.8
5,5,Before,6.6,6.6,5.4
6,6,Before,4.8,4.8,5
7,7,Before,4,4,6.6
8,8,Before,2.2,2.2,5.8
9,9,Before,5,5,2.2
10,10,Before,3.4,3.4,3.6
11,11,Before,2.6,2.6,4
12,12,Before,3,3,5.2
13,13,Before,2.2,2.2,5.2
14,14,Before,2.6,2.6,7
15,15,Before,6,6,5.8
16,16,Before,5.4,5.4,6.4
17,17,Before,6,6,4
18,18,Before,6.2,6.2,4.8
19,19,Before,5.4,5.4,5
20,20,Before,3.2,3.2,5.2
21,21,Before,4.8,4.8,6.4
22,22,Before,5.4,5.4,4.6
23,23,Before,4.2,4.2,3.4
24,24,Before,2.8,2.8,6.2
25,25,Before,3.2,3.2,4.8
26,26,Before,5.8,5.8,5.8
27,27,Before,1.2,1.2,3
28,28,Before,3.4,3.4,4.8
29,29,Before,4.8,4.8,4.6
30,30,Before,4.2,4.2,4.4
31,31,Before,4.2,4.2,5.6
32,32,Before,5.6,5.6,5.8
33,33,Before,3.8,3.8,6.2
34,34,Before,5.8,5.8,5.2
35,35,Before,5,5,4
36,36,Before,4.6,4.6,5.6
37,37,Before,4.6,4.6,7
38,38,Before,3.4,3.4,7
39,39,Before,4.4,4.4,5.8
40,40,Before,4.8,4.8,3.4
41,41,Before,4.8,4.8,2.8
42,42,Before,3.8,3.8,4
43,43,Before,3.4,3.4,5.8
44,44,Before,4.2,4.2,1.2
45,45,Before,5.2,5.2,4.8
46,46,Before,6.4,6.4,5.8
47,47,Before,5.8,5.8,4.8
48,48,Before,6,6,3.4
49,49,Before,5.6,5.6,6
50,50,Before,7,7,4.8
51,51,Before,3.4,3.4,5
52,52,Before,7,7,3.4
53,53,Before,6,6,5.6
54,54,Before,5.4,5.4,5.6
55,55,Before,3.6,3.6,4.8
56,56,Before,4.8,4.8,5
57,57,Before,2.6,2.6,4.4
58,58,Before,2.8,2.8,5.4
59,59,Before,6,6,5.6
60,60,Before,5.8,5.8,5
61,61,Before,3.4,3.4,5.8
62,62,Before,2,2,4.2
63,63,Before,2,2,4.8
64,64,Before,5.8,5.8,4.4
65,65,Before,2.8,2.8,4.6
66,66,Before,5.4,5.4,6
67,67,Before,5.4,5.4,4.2
68,68,Before,2.6,2.6,5
69,69,Before,3.6,3.6,5.2
70,70,Before,5,5,6.8
71,71,Before,4,4,5.4
72,72,Before,5.2,5.2,4.2
73,73,Before,5.8,5.8,7
74,74,Before,6,6,2.6
75,75,Before,5.6,5.6,4.2
76,76,Before,3.6,3.6,4.4
77,77,Before,5.6,5.6,4.8
78,78,Before,2.6,2.6,4.4
79,79,Before,5.2,5.2,5.2
80,80,Before,4,4,2.4
81,81,Before,5.8,5.8,5.2
82,82,Before,5.8,5.8,2.6
83,83,Before,4.6,4.6,4.8
84,84,Before,4.6,4.6,5.6
85,85,Before,4.4,4.4,5.2
86,86,Before,5,5,4.6
87,87,Before,4,4,5.4
88,88,Before,5.8,5.8,6.8
89,89,Before,2.2,2.2,4
90,90,Before,4,4,5.6
91,91,Before,7,7,6.6
92,92,Before,2.6,2.6,2.8
93,93,Before,6,6,5.6
94,94,Before,2,2,3.2
95,95,Before,6,6,5
96,96,Before,2.2,2.2,4.4
97,97,Before,6.2,6.2,2.8
98,98,Before,2.6,2.6,4.8
99,99,Before,3.2,3.2,4.6
100,100,Before,4.4,4.4,6.2
101,101,Before,4.8,4.8,4.2
102,102,Before,4.8,4.8,5.4
103,103,Before,5.8,5.8,4.4
104,104,Before,2.6,2.6,7
105,105,Before,7,7,4.8
106,106,Before,4.4,4.4,5.2
107,107,Before,5.2,5.2,3.8
108,108,Before,4,4,2.8
109,109,Before,2.4,2.4,3.4
110,110,Before,4.6,4.6,5.4
111,111,Before,5,5,3.4
112,112,Before,5.4,5.4,4.4
113,113,Before,5.8,5.8,5.2
114,114,Before,2.4,2.4,4.8
115,1,After,6.2,,
116,2,After,3.2,,
117,3,After,3,,
118,4,After,2.8,,
119,5,After,5.4,,
120,6,After,5,,
121,7,After,6.6,,
122,8,After,5.8,,
123,9,After,2.2,,
124,10,After,3.6,,
125,11,After,4,,
126,12,After,5.2,,
127,13,After,5.2,,
128,14,After,7,,
129,15,After,5.8,,
130,16,After,6.4,,
131,17,After,4,,
132,18,After,4.8,,
133,19,After,5,,
134,20,After,5.2,,
135,21,After,6.4,,
136,22,After,4.6,,
137,23,After,3.4,,
138,24,After,6.2,,
139,25,After,4.8,,
140,26,After,5.8,,
141,27,After,3,,
142,28,After,4.8,,
143,29,After,4.6,,
144,30,After,4.4,,
145,31,After,5.6,,
146,32,After,5.8,,
147,33,After,6.2,,
148,34,After,5.2,,
149,35,After,4,,
150,36,After,5.6,,
151,37,After,7,,
152,38,After,7,,
153,39,After,5.8,,
154,40,After,3.4,,
155,41,After,2.8,,
156,42,After,4,,
157,43,After,5.8,,
158,44,After,1.2,,
159,45,After,4.8,,
160,46,After,5.8,,
161,47,After,4.8,,
162,48,After,3.4,,
163,49,After,6,,
164,50,After,4.8,,
165,51,After,5,,
166,52,After,3.4,,
167,53,After,5.6,,
168,54,After,5.6,,
169,55,After,4.8,,
170,56,After,5,,
171,57,After,4.4,,
172,58,After,5.4,,
173,59,After,5.6,,
174,60,After,5,,
175,61,After,5.8,,
176,62,After,4.2,,
177,63,After,4.8,,
178,64,After,4.4,,
179,65,After,4.6,,
180,66,After,6,,
181,67,After,4.2,,
182,68,After,5,,
183,69,After,5.2,,
184,70,After,6.8,,
185,71,After,5.4,,
186,72,After,4.2,,
187,73,After,7,,
188,74,After,2.6,,
189,75,After,4.2,,
190,76,After,4.4,,
191,77,After,4.8,,
192,78,After,4.4,,
193,79,After,5.2,,
194,80,After,2.4,,
195,81,After,5.2,,
196,82,After,2.6,,
197,83,After,4.8,,
198,84,After,5.6,,
199,85,After,5.2,,
200,86,After,4.6,,
201,87,After,5.4,,
202,88,After,6.8,,
203,89,After,4,,
204,90,After,5.6,,
205,91,After,6.6,,
206,92,After,2.8,,
207,93,After,5.6,,
208,94,After,3.2,,
209,95,After,5,,
210,96,After,4.4,,
211,97,After,2.8,,
212,98,After,4.8,,
213,99,After,4.6,,
214,100,After,6.2,,
215,101,After,4.2,,
216,102,After,5.4,,
217,103,After,4.4,,
218,104,After,7,,
219,105,After,4.8,,
220,106,After,5.2,,
221,107,After,3.8,,
222,108,After,2.8,,
223,109,After,3.4,,
224,110,After,5.4,,
