Dog,Happiness,Group
1,2,No Belly Rubs
2,5,No Belly Rubs
3,2,No Belly Rubs
4,4,No Belly Rubs
5,3,No Belly Rubs
6,2,No Belly Rubs
7,3,No Belly Rubs
8,5,No Belly Rubs
9,4,No Belly Rubs
10,3,No Belly Rubs
11,6,No Belly Rubs
12,7,No Belly Rubs
1,4,5 Belly Rubs
2,6,5 Belly Rubs
3,5,5 Belly Rubs
4,4,5 Belly Rubs
5,5,5 Belly Rubs
6,6,5 Belly Rubs
7,5,5 Belly Rubs
8,7,5 Belly Rubs
9,6,5 Belly Rubs
10,3,5 Belly Rubs
11,7,5 Belly Rubs
12,6,5 Belly Rubs
1,9,10 Belly Rubs
2,5,10 Belly Rubs
3,7,10 Belly Rubs
4,6,10 Belly Rubs
5,7,10 Belly Rubs
6,4,10 Belly Rubs
7,6,10 Belly Rubs
8,7,10 Belly Rubs
9,7,10 Belly Rubs
10,6,10 Belly Rubs
11,9,10 Belly Rubs
12,5,10 Belly Rubs
