ID,ID_Dep,Time,SWLS_mean
1,1,Before,5
2,2,Before,4
3,3,Before,5.8
4,4,Before,3
5,5,Before,6.6
6,6,Before,4.8
7,7,Before,4
8,8,Before,2.2
9,9,Before,5
10,10,Before,3.4
11,11,Before,2.6
12,12,Before,3
13,13,Before,2.2
14,14,Before,2.6
15,15,Before,6
16,16,Before,5.4
17,17,Before,6
18,18,Before,6.2
19,19,Before,5.4
20,20,Before,3.2
21,21,Before,4.8
22,22,Before,5.4
23,23,Before,4.2
24,24,Before,2.8
25,25,Before,3.2
26,26,Before,5.8
27,27,Before,1.2
28,28,Before,3.4
29,29,Before,4.8
30,30,Before,4.2
31,31,Before,4.2
32,32,Before,5.6
33,33,Before,3.8
34,34,Before,5.8
35,35,Before,5
36,36,Before,4.6
37,37,Before,4.6
38,38,Before,3.4
39,39,Before,4.4
40,40,Before,4.8
41,41,Before,4.8
42,42,Before,3.8
43,43,Before,3.4
44,44,Before,4.2
45,45,Before,5.2
46,46,Before,6.4
47,47,Before,5.8
48,48,Before,6
49,49,Before,5.6
50,50,Before,7
51,51,Before,3.4
52,52,Before,7
53,53,Before,6
54,54,Before,5.4
55,55,Before,3.6
56,56,Before,4.8
57,57,Before,2.6
58,58,Before,2.8
59,59,Before,6
60,60,Before,5.8
61,61,Before,3.4
62,62,Before,2
63,63,Before,2
64,64,Before,5.8
65,65,Before,2.8
66,66,Before,5.4
67,67,Before,5.4
68,68,Before,2.6
69,69,Before,3.6
70,70,Before,5
71,71,Before,4
72,72,Before,5.2
73,73,Before,5.8
74,74,Before,6
75,75,Before,5.6
76,76,Before,3.6
77,77,Before,5.6
78,78,Before,2.6
79,79,Before,5.2
80,80,Before,4
81,81,Before,5.8
82,82,Before,5.8
83,83,Before,4.6
84,84,Before,4.6
85,85,Before,4.4
86,86,Before,5
87,87,Before,4
88,88,Before,5.8
89,89,Before,2.2
90,90,Before,4
91,91,Before,7
92,92,Before,2.6
93,93,Before,6
94,94,Before,2
95,95,Before,6
96,96,Before,2.2
97,97,Before,6.2
98,98,Before,2.6
99,99,Before,3.2
100,100,Before,4.4
101,101,Before,4.8
102,102,Before,4.8
103,103,Before,5.8
104,104,Before,2.6
105,105,Before,7
106,106,Before,4.4
107,107,Before,5.2
108,108,Before,4
109,109,Before,2.4
110,110,Before,4.6
111,111,Before,5
112,112,Before,5.4
113,113,Before,5.8
114,114,Before,2.4
115,1,After,6.2
116,2,After,3.2
117,3,After,3
118,4,After,2.8
119,5,After,5.4
120,6,After,5
121,7,After,6.6
122,8,After,5.8
123,9,After,2.2
124,10,After,3.6
125,11,After,4
126,12,After,5.2
127,13,After,5.2
128,14,After,7
129,15,After,5.8
130,16,After,6.4
131,17,After,4
132,18,After,4.8
133,19,After,5
134,20,After,5.2
135,21,After,6.4
136,22,After,4.6
137,23,After,3.4
138,24,After,6.2
139,25,After,4.8
140,26,After,5.8
141,27,After,3
142,28,After,4.8
143,29,After,4.6
144,30,After,4.4
145,31,After,5.6
146,32,After,5.8
147,33,After,6.2
148,34,After,5.2
149,35,After,4
150,36,After,5.6
151,37,After,7
152,38,After,7
153,39,After,5.8
154,40,After,3.4
155,41,After,2.8
156,42,After,4
157,43,After,5.8
158,44,After,1.2
159,45,After,4.8
160,46,After,5.8
161,47,After,4.8
162,48,After,3.4
163,49,After,6
164,50,After,4.8
165,51,After,5
166,52,After,3.4
167,53,After,5.6
168,54,After,5.6
169,55,After,4.8
170,56,After,5
171,57,After,4.4
172,58,After,5.4
173,59,After,5.6
174,60,After,5
175,61,After,5.8
176,62,After,4.2
177,63,After,4.8
178,64,After,4.4
179,65,After,4.6
180,66,After,6
181,67,After,4.2
182,68,After,5
183,69,After,5.2
184,70,After,6.8
185,71,After,5.4
186,72,After,4.2
187,73,After,7
188,74,After,2.6
189,75,After,4.2
190,76,After,4.4
191,77,After,4.8
192,78,After,4.4
193,79,After,5.2
194,80,After,2.4
195,81,After,5.2
196,82,After,2.6
197,83,After,4.8
198,84,After,5.6
199,85,After,5.2
200,86,After,4.6
201,87,After,5.4
202,88,After,6.8
203,89,After,4
204,90,After,5.6
205,91,After,6.6
206,92,After,2.8
207,93,After,5.6
208,94,After,3.2
209,95,After,5
210,96,After,4.4
211,97,After,2.8
212,98,After,4.8
213,99,After,4.6
214,100,After,6.2
215,101,After,4.2
216,102,After,5.4
217,103,After,4.4
218,104,After,7
219,105,After,4.8
220,106,After,5.2
221,107,After,3.8
222,108,After,2.8
223,109,After,3.4
224,110,After,5.4
225,111,After,3.4
226,112,After,4.4
227,113,After,5.2
228,114,After,4.8
229,1,After_2WKS,4.1
230,2,After_2WKS,2.4
231,3,After_2WKS,2.5
232,4,After_2WKS,2.2
233,5,After_2WKS,5
234,6,After_2WKS,4.2
235,7,After_2WKS,3.7
236,8,After_2WKS,3.5
237,9,After_2WKS,2
238,10,After_2WKS,4
239,11,After_2WKS,1.9
240,12,After_2WKS,4.3
241,13,After_2WKS,1.9
242,14,After_2WKS,3.4
243,15,After_2WKS,4.5
244,16,After_2WKS,5.5
245,17,After_2WKS,3.4
246,18,After_2WKS,4.2
247,19,After_2WKS,4.7
248,20,After_2WKS,5.2
249,21,After_2WKS,4.5
250,22,After_2WKS,4.1
251,23,After_2WKS,3.4
252,24,After_2WKS,1.9
253,25,After_2WKS,2.6
254,26,After_2WKS,4
255,27,After_2WKS,1.3
256,28,After_2WKS,4.2
257,29,After_2WKS,4.1
258,30,After_2WKS,4.1
259,31,After_2WKS,5
260,32,After_2WKS,5
261,33,After_2WKS,3.9
262,34,After_2WKS,4.8
263,35,After_2WKS,4
264,36,After_2WKS,4.9
265,37,After_2WKS,4.1
266,38,After_2WKS,6.1
267,39,After_2WKS,3.1
268,40,After_2WKS,3.2
269,41,After_2WKS,3
270,42,After_2WKS,3.9
271,43,After_2WKS,4.9
272,44,After_2WKS,3.5
273,45,After_2WKS,5.2
274,46,After_2WKS,6
275,47,After_2WKS,4
276,48,After_2WKS,3.4
277,49,After_2WKS,5
278,50,After_2WKS,6
279,51,After_2WKS,4.1
280,52,After_2WKS,5.3
281,53,After_2WKS,5.3
282,54,After_2WKS,5.4
283,55,After_2WKS,3.9
284,56,After_2WKS,4.9
285,57,After_2WKS,4.9
286,58,After_2WKS,5.8
287,59,After_2WKS,5.7
288,60,After_2WKS,4.1
289,61,After_2WKS,3.9
290,62,After_2WKS,4.2
291,63,After_2WKS,4.7
292,64,After_2WKS,5.9
293,65,After_2WKS,2
294,66,After_2WKS,4.2
295,67,After_2WKS,4.1
296,68,After_2WKS,5
297,69,After_2WKS,5.2
298,70,After_2WKS,5.1
299,71,After_2WKS,5.4
300,72,After_2WKS,4.2
301,73,After_2WKS,5.1
302,74,After_2WKS,5
303,75,After_2WKS,4.2
304,76,After_2WKS,3.9
305,77,After_2WKS,5
306,78,After_2WKS,3.8
307,79,After_2WKS,5.3
308,80,After_2WKS,3.4
309,81,After_2WKS,5.9
310,82,After_2WKS,4
311,83,After_2WKS,4.2
312,84,After_2WKS,3.9
313,85,After_2WKS,3.8
314,86,After_2WKS,5.3
315,87,After_2WKS,4
316,88,After_2WKS,6
317,89,After_2WKS,3.6
318,90,After_2WKS,5
319,91,After_2WKS,6
320,92,After_2WKS,2
321,93,After_2WKS,5.6
322,94,After_2WKS,3.2
323,95,After_2WKS,4
324,96,After_2WKS,4.1
325,97,After_2WKS,3
326,98,After_2WKS,3.8
327,99,After_2WKS,1.9
328,100,After_2WKS,5
329,101,After_2WKS,5
330,102,After_2WKS,5.4
331,103,After_2WKS,4.4
332,104,After_2WKS,6
333,105,After_2WKS,6
334,106,After_2WKS,5
335,107,After_2WKS,1.8
336,108,After_2WKS,3
337,109,After_2WKS,3.2
338,110,After_2WKS,5.2
339,111,After_2WKS,3
340,112,After_2WKS,5
341,113,After_2WKS,5
342,114,After_2WKS,4.3
